study_id,author_year,article_title,study_design,climate_factors,sample_source,seasonality_subtype
161,Harnisz et al. (2020),The impact of WWTP size and sampling season on the prevalence of antibiotic resistance genes in wastewater and the river system,Time-series study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
162,Güvenir et al. (2021),Do Seasonal Changes and Climate Effect the Prevalence of Antibiotic Resistance of Acinetobacter calcoaceticus-baumannii Complex?,Cross-sectional study,Seasonality,Clinical isolates,Seasonality only
163,Guo et al. (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Ecological study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
164,Guo et al. (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
165,Goossens et al. (2005),Outpatient antibiotic use in Europe and association with resistance: a cross-national database study,Ecological study,Seasonality,Clinical isolates,Seasonality only
166,Gönder et al. (2021),"Detailed characterization, antibiotic resistance and seasonal variation of hospital wastewater",Cross-sectional study,Ambient temperature; Seasonality; Interaction/Composite exposure,Clinical isolates,Seasonality with other climate factors
167,Gao et al. (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
168,Fossen et al. (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Cross-sectional study,Seasonality; Interaction/Composite exposure,Animal sources,Seasonality with other climate factors
169,Du et al. (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant with A2O-MBR system,Cross-sectional study,Seasonality,Wastewater,Seasonality only
170,Di Carlo et al. (2025),Seasonal Change in Microbial Diversity: Bile Microbiota and Antibiotics Resistance in Patients with Bilio-Pancreatic Tumors: A Retrospective Monocentric Study (2010–2020),Cohort study,Seasonality,Clinical isolates,Seasonality only
171,Delorme et al. (2017),"A longitudinal analysis of methicillin-resistant and sensitiveStaphylococcus aureus incidence in respect to specimen source, patientlocation, and temperature variation",Time-series study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
172,Delgado-Baquerizo et al. (2022),The global distribution and environmental drivers of the soil antibiotic resistome,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
173,Dagan et al. (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic-Restriction Policy?,Cohort study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
174,Brandão et al. (2017),Microbiological Quality and Prevalence of β-Lactam Antibiotic Resistance Genes in Oysters (Crassostrea rhizophorae),Cross-sectional study,Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
175,Czatzkowska et al. (2020),Catchment scale analysis of occurrence of antibiotic resistance genes in treated wastewater,Cross-sectional study,Seasonality,Wastewater,Seasonality only
176,COX et al. (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Modeling study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
177,Chen et al. (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Ecological study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
178,Chattopadhya D et al. (2021),Hospital Premises as a Potential Reservoir of Antimicrobial Resistance,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Extreme weather events; Relative humidity,Clinical isolates,Seasonality with other climate factors
179,Cassone M et al. (2021),Seasonal Patterns in Incidence and Antimicrobial Resistance of Common Bacterial Pathogens in Nursing Home Patients and Their Rooms,Time-series study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
180,Burnham et al. (2019),Seasonal Changes in the Prevalence of Antibiotic-Susceptible Acinetobacter calcoaceticus-baumannii Complex Isolates Result in Increased Multidrug Resistance Rates During Winter Months,Time-series study,Seasonality,Clinical isolates,Seasonality only
181,Rusiñol et al. (2017),The occurrence of antibiotic resistance genes in a Mediterranean river and their persistence in the riverbed sediment,Modeling study,Ambient temperature; Seasonality; Precipitation; Extreme weather events,Soil/agricultural sources,Seasonality with other climate factors
182,Abu-Romman et al. (2020),Prevalence and Antimicrobial Resistance of Salmonella spp. From Irrigation Water in Two Major Sources in Jordan,Cross-sectional study,Seasonality,Environmental water,Seasonality only
183,Brouwer et al. (2024),Extended spectrum cephalosporin (ESC) resistant Escherichia coli: Trends and seasonality in the Netherlands from 2014 to 2022,Cross-sectional study,Ambient temperature; Seasonality,Animal sources,Seasonality with other climate factors
184,Birošová et al. (2014),Pilot study of seasonal occurrence and distribution of antibiotics and drug resistant bacteria in wastewater treatment plants in Slovakia,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Wastewater,Seasonality with other climate factors
185,LaPara et al. (2015),Influence of a Non-Hospital Medical Care Facility on Antimicrobial Resistance in Wastewater,Cross-sectional study,Seasonality,Wastewater,Seasonality only
188,"Bandy, A.; Tantry, B. (2021)","ESBL Activity, MDR, and Carbapenem Resistance among Predominant Enterobacterales Isolated in 2019",Cross-sectional study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
189,Aslam et al. (2010),"Characterization of antimicrobial resistance and seasonal prevalence of Escherichia coli O157:H7 recovered from commercial feedlots in Alberta, Canada",Time-series study,Ambient temperature; Seasonality,Animal sources,Seasonality with other climate factors
190,Asencio Egea et al. (2018),Trend and seasonality of community-acquired Escherichia coli antimicrobial resistance and its dynamic relationship with antimicrobial use assessed by ARIMA models,Time-series study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
191,Al-Zuhairy & Al-Shirawi (2013),Seasonal and months change of antibiotic resistance in Enterobacter spp in urinary tract infection,Cohort study,Seasonality,Clinical isolates,Seasonality only
192,Al Salah et al. (2020),Hospital wastewaters: A reservoir and source of clinically relevant bacteria and antibiotic resistant genes dissemination in urban river under tropical conditions,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Clinical isolates,Seasonality with other climate factors
193,Li et al. (2024),Changes in the epidemiology and antimicrobial resistance patterns of Streptococcus pneumoniae in children with community-acquired pneumonia before and during the COVID-19 pandemic: a retrospective study,Cohort study,Seasonality,Clinical isolates,Seasonality only
194,Abdelfattah et al. (2025),Antimicrobial drug use and its association with antimicrobial resistance in fecal commensals from cows on California dairies,Time-series study,Ambient temperature; Seasonality; Precipitation,Animal sources,Seasonality with other climate factors
196,Abatih et al. (2009),"Regional, Seasonal, and Temporal Variations in the Prevalence of Antimicrobial-Resistant Escherichia coli Isolated from Pigs at Slaughter in Denmark (1997–2005)",Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Animal sources,Seasonality with other climate factors
197,Ahmed et al. (2021),Antibiotic Resistance and Sewage-Associated Marker Genes in Untreated Sewage and a River Characterized During Baseflow and Stormflow,Cross-sectional study,Extreme weather events,Wastewater,No seasonality
198,Begic and Worobec (2007),"Fluoroquinolone resistance of Serratia
marcescens: sucrose, salicylate, temperature,
and pH induction of phenotypic resistance",Cross-sectional study,Ambient temperature,Laboratory isolates,No seasonality
199,Carney et al. (2019),Urban beaches are environmental hotspots for antibiotic resistance following rainfall,Time-series study,Ambient temperature; Precipitation; Extreme weather events,Environmental water,No seasonality
200,Eramo et al. (2017),Partitioning of Antibiotic Resistance Genes and Fecal Indicators Varies Intra and Inter-Storm during Combined Sewer Overflows,Cross-sectional study,Precipitation; Extreme weather events,Soil/agricultural sources,No seasonality
201,Habibi et al. (2023),Antibiotic Resistance Genes in Aerosols: Baseline from Kuwait,Cross-sectional study,Seasonality,Clinical isolates,Seasonality only
203,Li et al. (2023),Tracking spatio-temporal distribution and transmission of antibiotic resistance in aquatic environments by using ESBL-producing Escherichia coli as an indicator,Cross-sectional study,Ambient temperature; Seasonality; Extreme weather events; Relative humidity,Wastewater,Seasonality with other climate factors
205,Novoa et al. (2013),Antibiotic resistance antimicrobial residues and bacterial community composition in urban wastewater,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Interaction/Composite exposure,Wastewater,Seasonality with other climate factors
206,Wu et al. (2022),Antibiotic resistome and its driving factors in an urban river in northern China,Cross-sectional study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
207,Xu et al. (2024),Typical antibiotic resistance genes and their association with driving factors in the coastal areas of Yangtze River Estuary,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
208,Zhou et al. (2024),Epidemiological and genomic analysis revealed the significant role of flies in dissemination of carbapenem-resistant Enterobacteriaceae (CRE) in China,Cross-sectional study,Ambient temperature; Precipitation,Soil/agricultural sources,No seasonality
209,Yang et al. (2024),Seasonal distribution of human-to-human pathogens in airborne PM2.5 and their potential high-risk ARGs,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Air/aerosol,Seasonality with other climate factors
