evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_055-M4,55,4,"Kou et al., 2025",Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Discussion theoretical interpretation,Environment-mediated pathways,,"In addition, high temperatures accelerate the degradation of antibiotics in the environment, and the residual drugs that remain in southern China after the use of antibiotics in the agricultural (aquaculture, livestock and poultry) and medical scenarios enter into the water column, soil, and other environmental media, and high temperature can reduce the selective pressure for drug resistance through photochemical degradation and accelerated microbial degradation. (p.5)",Review-based,Review-based support,Suppressing AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_055-M5,55,5,"Kou et al., 2025",Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Discussion theoretical interpretation,Direct biological mechanisms,bacteria (general),"Laboratory evidence suggests that heat exposure can stimulate bacteria to develop AMR through a process of cross-tolerance6,41. (p.5)",Review-based,Review-based support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-08
EVID_055-M6,55,6,"Kou et al., 2025",Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Discussion theoretical interpretation,Direct biological mechanisms,resistant strains (general),"It has also been suggested that temperature or seasonality may influence the environmental growth of resistant strains and horizontal gene transfer43,44. (p.5)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_055-M7,55,7,"Kou et al., 2025",Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Discussion theoretical interpretation,Direct biological mechanisms,bacteria (general),Higher temperatures can reduce the fitness cost of mutations while maintaining their resistance to antibiotics after removal. (p.5),Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Laboratory/in vitro,2026-01-08
EVID_055-M8,55,8,"Kou et al., 2025",Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Discussion interpretation,Environment-mediated pathways,CRKP,"We found a cumulative effect of ambient temperature on AMR, showing that the four-year sum effect of average ambient temperature change had a significant effect on CRKP. (p.5)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-08
EVID_056-M1,56,1,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Results,Environment-mediated pathways,Bacterial AMR,"""Average AMR prevalence was correlated positively with air pollutant fine particulate matter (PM2.5) (0-year lag) (odds ratio (OR) = 1.02; 95% CI, 1.01–1.04)..."" (p.2, para.8) 1",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-12
EVID_056-M2,56,2,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Results,Environment-mediated pathways,Bacterial AMR,"""...surface runoff (100 mm) (2-year lag) (OR = 1.22; 95% CI, 1.05–1.40)..."" (p.2, para.8) 2",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-12
EVID_056-M3,56,3,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Results,Environment-mediated pathways,Bacterial AMR,"""...negatively with subsurface runoff (100 mm) (2-year lag) (OR = 0.84; 95% CI, 0.76–0.93)..."" (p.2, para.8) 3",Observational,Indirect empirical support,Suppressing AMR,Observational cumulative/seasonal,Natural environment,2025-12-12
EVID_056-M4,56,4,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Results,Direct biological mechanisms,A. baumannii,"""...the prevalence of CRAB (3-year lag) was associated positively with temperature change (°C) (OR = 1.23; 95% CI, 1.06–1.43)..."" (p.2, para.8) 4",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-12
EVID_056-M5,56,5,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion interpretation,Direct biological mechanisms,A. baumannii,"""For instance, in A. baumannii, low temperatures upregulate resistance genes (for example, adeJ, oxa-51 and oxa-23) and enhance meropenem stress tolerance..."" (p.6, para.2) 5",Review-based,Review-based support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_056-M6,56,6,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion interpretation,Direct biological mechanisms,P. aeruginosa,"""...whereas in P. aeruginosa, elevated temperatures inactivate genes such as PA3242 and PA0011, leading to outer membrane destabilization and increased carbapenem susceptibility."" (p.6, para.2) 6",Review-based,Review-based support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_056-M7,56,7,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion theoretical interpretation,Direct biological mechanisms,Bacterial AMR,"""Of particular concern is the potential for sustained warming to reduce the fitness cost associated with resistance mutations, thereby enabling resistant bacterial populations to persist without evolutionary trade-offs."" (p.6, para.3) 7",Theoretical/projection,Theoretical support,Promoting AMR,Model/evolutionary,Natural environment,2025-12-12
EVID_056-M8,56,8,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion theoretical interpretation,Environment-mediated pathways,Bacterial AMR,"""First, PM2.5 particles can serve as vectors for drug-resistant bacteria or genetic material, thereby facilitating their transmission between environmental reservoirs and human hosts."" (p.6, para.4) 8",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-12
EVID_056-M9,56,9,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion theoretical interpretation,Socio-ecological mediation,Bacterial AMR,"""Second, PM2.5 exposure may indirectly promote AMR development by exacerbating respiratory conditions, consequently increasing the demand for antibiotic treatments."" (p.6, para.4) 9",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-12
EVID_056-M10,56,10,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion theoretical interpretation,Socio-ecological mediation,Bacterial AMR,"""Extreme weather events, such as heavy rain_x0002_fall and floods, critically challenge AMR prevention efforts in LMICs. 
These events not only increase the risk of AMR spread but also threaten 
to destabilize already vulnerable health infrastructure, complicating 
antimicrobial stewardship and infection prevention efforts63..."" (p.9, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-12
EVID_056-M11,56,11,Li (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Discussion theoretical interpretation,Environment-mediated pathways,Bacterial AMR,"""Further_x0002_more, climate change, in combination with human activities, is altering 
animal habitats and natural microbial ecosystems, which increases the 
likelihood of zoonotic and vector-borne diseases11,12."" (p.9, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Model/evolutionary,Natural environment,2025-12-12
EVID_058-M1,58,1,"Rizvi et al., 2025","Klebsiella pneumoniae urinary tract infections: Antimicrobial susceptibility, climatic variables, and socio-economic factors in a multicentric study in India",Results,Environment-mediated pathways,Klebsiella pneumoniae,"Humidity, and low and high temperatures (P <0.05) had statistically significant effects on the proportion of susceptible K. pneumoniae as shown in Figure 3. (p.3)",Observational,Indirect empirical support,Suppressing AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-08
EVID_058-M2,58,2,"Rizvi et al., 2025","Klebsiella pneumoniae urinary tract infections: Antimicrobial susceptibility, climatic variables, and socio-economic factors in a multicentric study in India",Results and discussion integration,Socio-ecological mediation,未明确,"This region is characterized by a semi-tropical climate, with temperatures increas-
ing from March to July, followed by heavy monsoons over the next 3
months. The low standard of living among large swathes of the popu-
lation, with concomitant poor access to health care, and substandard
or spurious drugs exacerbate the problem of multidrug resistance [ 14 ].",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2026-01-08
EVID_059-M1,59,1,"Wang et al., 2025",A global atlas and drivers of antimicrobial resistance in Salmonella during 1900-2023,Review synthesis,Socio-ecological mediation,Klebsiella pneumoniae; Staphylococcus aureus; Escherichia coli,"The growing population and climate change (temperature) were positive to the increase of the AMR rate of Klebsiella pneumoniae, Staphylococcus aureus, and Escherichia coli were observed in 28 European countries33 and the USA34. (p.2)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Within host / clinical,2026-01-08
EVID_059-M2,59,2,"Wang et al., 2025",A global atlas and drivers of antimicrobial resistance in Salmonella during 1900-2023,Discussion interpretation,Socio-ecological mediation,Salmonella spp.,"In our previous study, we found that higher temperature, precipitation, GDP, gross output of meat, and population can indirectly promote the AMR levels in Salmonella in China13, and had not been extrapolated to a global scale. (p.13)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2026-01-08
EVID_059-M3,59,3,"Wang et al., 2025",A global atlas and drivers of antimicrobial resistance in Salmonella during 1900-2023,Results and discussion integration,Socio-ecological mediation,Salmonella spp.（水生动物相关）,"We found that higher AMR levels in aquatic animals were positive with warmer temperatures, which is the relationship that has also been observed in aquaculture and clinical bacteria worldwide34,54. (p.13)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-08
EVID_060-M1,60,1,"Zhang et al., 2025","From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Other,Environment-mediated pathways,环境微生物/土壤ARGs,"However, increasing evidence also shows that human activity and climate change are accelerating the mobilization, transformation, and amplification of these naturally present ARGs [16,17]. (p.2)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_060-M2,60,2,"Zhang et al., 2025","From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Other,Environment-mediated pathways,环境微生物/土壤-水体ARGs,"Climate-induced glacier melting and permafrost thawing may release previously trapped ARGs into surrounding soils and waterways [12,18]. (p.2)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_060-M3,60,3,"Zhang et al., 2025","From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Discussion theoretical interpretation,Environment-mediated pathways,环境微生物/土壤ARGs,"Specifically, rainfall can facilitate the transfer of ARGs from the air to the soil [50] and promote their migration within the soil [20]. (p.8)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_060-M4,60,4,"Zhang et al., 2025","From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Discussion theoretical interpretation,Environment-mediated pathways,环境微生物/土壤ARGs,"Temperature influences bacterial communities and can alter ARG abundance, as the degradation rate of antibiotic residues and ARGs increases with rising temperature and humidity [51]. Therefore, higher temperatures may lead to a decrease in the abundance of ARGs [52,53].(p.8)",Review-based,Review-based support,Suppressing AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_060-M5,60,5,"Zhang et al., 2025","From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Discussion theoretical interpretation,Direct biological mechanisms,环境微生物/土壤微生物群落,"These environmental changes induce microorganisms to adapt through both phenotypic and genotypic mechanisms [54], thereby enhancing microbial resistance mechanisms. (p.8)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_061-M1,61,1,Zhou (2025),Factors associated with clinical antimicrobial resistance in China: a nationwide analysis,Discussion interpretation,Environment-mediated pathways,Bacterial AMR,"Several previous studies reported that ambient temperature appeared to be positively associated with AMR of some bacteria [55, 56] and that precipitation was negatively associated with AMR [9]. (p.12)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-09
EVID_062-M1,62,1,Zhao (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Results,Direct biological mechanisms,E.coli,"Furthermore, the biofilm formation ability of the evolved E. coli was generally enhanced (Fig. 1j), and the intracellular ROS levels and mutation rates increased, contributing to the development of resistance (Fig. 1k and 1).",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_062-M2,62,2,Zhao (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Results,Direct biological mechanisms,E.coli,"The proportion of upregulated genes increased significantly
as the temperature rose to 37 and 42 ! C (Fig. 2b), and some genes,
such as the heat shock gene ibpB, were upregulated almost a
thousandfold.
The upregulation of efflux pumps and global tran_x0002_scriptional regulators (marA, rpoS, and ygfA) was beneficial for E. coli in conferring multiple resistance and adaptability.",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_062-M3,62,3,Zhao (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Results,Direct biological mechanisms,E.coli," Furthermore, the biofilm formation ability of the evolved E. coli was generally enhanced (Fig. 1j), and the intracellular ROS levels and mutation rates increased, contributing to the development of resistance (Fig. 1k and 1).",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_062-M4,62,4,Zhao (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Results and discussion integration,Direct biological mechanisms,E.coli,"1）Gatifloxacin resistance was the highest at 27 ! C, with a 256-fold
increase, and the lowest at 42 ! C, with an eight-fold increase.
Resistance to antibiotics other than gatifloxacin was also induced at
W. Zhao, S. Zheng, C. Ye et al. Environmental Science and Ecotechnology 22 (2024) 100475
2 various temperatures (Fig. 1a)
2） Compared to the binding energy of "" 35.209 kcal mol"" 1 in the wild
type, the evolved strains in each treatment showed varying degrees
of reduced binding energy, with the most significant reduction
observed in 27-G. ",Model-based,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_062-M5,62,5,Zhao (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Results and discussion integration,Direct biological mechanisms,E.coli,"Except for 27-G, which was exposed to gatifloxacin, and 42-A, which was exposed to ampicillin, E. coli showed significant fitness costs (Fig. le and f). The two exceptions above are consistent with the results of the resistance heritable test (Fig. 1b). The mechanism may be that stepwise mutation and compensatory mutation at the evolutionary temperature reduce fitness costs.",Experimental,Theoretical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2025-12-12
EVID_063-M1,63,1,Zhao (2025),High temperatures promote antibiotic resistance genes conjugative transfer under residual chlorine: Mechanisms and risks,Results,Direct biological mechanisms,E.coli,".Our findings indicated that higher temperatures enhanced conjugative transfer frequency under residual chlorine, with the most significant increase occurring at 37◦C, which persisted up to 42◦C (Fig. 1). Treatment with 0.3 mg/L chlorine peaked the
temperature-induced promotion at 37◦C, with a 4.80-fold increase compared to 17◦C (Fig. 1c).. (p.3)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_063-M2,63,2,Zhao (2025),High temperatures promote antibiotic resistance genes conjugative transfer under residual chlorine: Mechanisms and risks,Results,Direct biological mechanisms,E.coli,"As shown in Fig. 2a, ATP content increased with rising temperatures, peaking at 37◦C, which was 3.60 to 20.75 times higher than at 17◦C. At the same temperature,
different chlorine doses had no significant effect on ATP content (p = 0.96). Similarly, RT-qPCR indicated that the expression levels of genes related to ATP production were highest at 37◦C (Fig. 2a). We found that the increased conjugative transfer frequency under high
temperatures and residual chlorine aligns with the changes in ATP content, with 37◦C being closer to the optimal temperature for ATP production [43]. (p.4)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_063-M3,63,3,Zhao (2025),High temperatures promote antibiotic resistance genes conjugative transfer under residual chlorine: Mechanisms and risks,Results,Direct biological mechanisms,E.coli,"The results showed that compared to 17◦C, ROS levels increased at other temperatures, ranging from 1.16 to 3.89 times higher. (p.6)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_063-M4,63,4,Zhao (2025),High temperatures promote antibiotic resistance genes conjugative transfer under residual chlorine: Mechanisms and risks,Discussion interpretation,Direct biological mechanisms,E.coli,The SOS response protects cells primarily by disrupting DNA that encodes conjugation transfer inhibitors and promoting the expression of genes required for plasmid transfer [19]. (p.7),Experimental,Indirect empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_063-M5,63,5,Zhao (2025),High temperatures promote antibiotic resistance genes conjugative transfer under residual chlorine: Mechanisms and risks,Results,Direct biological mechanisms,E.coli,"As shown in Fig. 4, the expression of these genes increased with higher temperatures, significantly at 37◦C compared to 17◦C (p < 0.01), consistent with the observed changes in conjugative transfer frequency (Fig. 1). Under residual chlorine, higher temperatures were more favorable for cellular response, plasmid transfer system construction,
and intercellular channel formation, which enhanced conjugative
transfer frequency.(p.8)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_064-M1,64,1,Wang (2016),"Pleiotropic effects of temperature-regulated 2-OH-lauroytransferase (PA0011) on Pseudomonas aeruginosa antibiotic resistance, virulence and type III secretion system",Results,Direct biological mechanisms,Pseudomonas aeruginosa,"The above results indicated that the expression of PA0011 is temperature regulated which is higher at 21 !C than at 37 !C. PA0011 plays an important role on the resistance to the most antibiotics in a temperature dependent pattern in PAO1 except for rifampicin. There would be other gene(s) involved in rifampicin resistance which need further investigated.
B. Wang et al. / Microbial Pathogenesis 91 (2016) 5e178. (p.8)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_064-M2,64,2,Wang (2016),"Pleiotropic effects of temperature-regulated 2-OH-lauroytransferase (PA0011) on Pseudomonas aeruginosa antibiotic resistance, virulence and type III secretion system",Discussion interpretation,Direct biological mechanisms,Pseudomonas aeruginosa,The out membrane of PAO1(D0011) showed less stable at 21 !C (Fig. 3B) than that at 37 !C (Fig. 3A). Thus PAO1(D0011) was more susceptible to the three carbapenems at 21 !C than those at 37 !C. (p.13),Experimental,Direct empirical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_065-M1,65,1,Van Eldijk (2024),Temperature dependence of the mutation rate towards antibiotic resistance,Results,Direct biological mechanisms,Escherichia coli,"As shown in Figure 1, the mutation rate depended on temperature, yet the direction of this dependency differed between antibiotics. The mutation rate towards ciprofloxacin and rifampicin resistance was higher at 40°C than at 37°C. In contrast, the mutation rate towards ampicillin resistance was higher at 37°C thanat 40°C. T. (p.2)",Experimental,Direct empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_065-M2,65,2,Van Eldijk (2024),Temperature dependence of the mutation rate towards antibiotic resistance,Results,Direct biological mechanisms,Escherichia coli,"In contrast, the mutation rate towards ampicillin resistance was higher at 37°C than at 40°C. (p.2)",Experimental,Direct empirical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_065-M3,65,3,Van Eldijk (2024),Temperature dependence of the mutation rate towards antibiotic resistance,Discussion theoretical interpretation,Direct biological mechanisms,Escherichia coli,"They hypothesized that this may be due to a synergistic effect between antibiotic-induced
cell wall damage and the increased membrane permeability that occurs at higher temperatures. Regardless of the exact mechanism of temperature dependence, our experiments demonstrate that the rate of appearance of mutants resistant
to ampicillin is temperature dependent, possibly due to the temperature-dependent efficacy of the antibiotic. Therefore, all else being equal, ampicillin resistance is less likely to evolve under fever temperatures. (p.3)",Theoretical/projection,Theoretical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_066-M1,66,1,Stokes et al. (2016),Cold Stress Makes Escherichia coli Susceptible to Glycopeptide Antibiotics by Altering Outer Membrane Integrity,Introduction/background framing,Direct biological mechanisms,Escherichia coli,"Recently, we observed that the glycopeptide vancomycin is able to inhibit growth of wild-type E. coli at low temperatures (Stokes et al., 2014). (p.2)",Experimental,Direct empirical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_066-M2,66,2,Stokes et al. (2016),Cold Stress Makes Escherichia coli Susceptible to Glycopeptide Antibiotics by Altering Outer Membrane Integrity,Discussion interpretation,Direct biological mechanisms,Escherichia coli,"Taken together, we propose a model in which heterogeneous or truncated core OS provides vancomycin resistance at low temperatures by generating an outer membrane that is resistant to cold-induced outer membrane ‘cracking’. (p.9",Experimental,Theoretical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_066-M3,66,3,Stokes et al. (2016),Cold Stress Makes Escherichia coli Susceptible to Glycopeptide Antibiotics by Altering Outer Membrane Integrity,Discussion interpretation,Direct biological mechanisms,Escherichia coli,"Our observations of temperature-dependent vancomycin sensitivity in wild-type E. coli may therefore best be explained by the presence of transient ‘‘cracks’’ in the outer membrane that allow for the diffusion of hydrophilic molecules into the periplasm (Figure 6B), as has been previously suggested (Nikaido, 2005; Vorachek-Warren et al., 2002).s. (p.9)",Theoretical/projection,Theoretical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_066-M4,66,4,Stokes et al. (2016),Cold Stress Makes Escherichia coli Susceptible to Glycopeptide Antibiotics by Altering Outer Membrane Integrity,Discussion interpretation,Direct biological mechanisms,Escherichia coli,"It is therefore possible that vancomycin sensitivity is the result of an imperfect
outer membrane response to cold-induced decreases in mem- brane fluidity. Intriguingly the Y324* mutant, which displays heterogeneous LPS, as well as core OS-deficient strains such as the DrfaE mutant, appear to be better suited to maintain outer membrane integrity during cold stress, as evidenced by these strains being more resistant to both vancomycin and rifampicin at 15!C relative to wild-type. (p.9)",Theoretical/projection,Theoretical support,Suppressing AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_067-M1,67,1,Song & Kong (2025),Effects of Temperature on Resistance Occurrence in Xanthomonas arboricola pv. pruni,Discussion interpretation,Direct biological mechanisms,Xanthomonas arboricola pv. pruni,"However, when exposed to various temperatures in addition to antibiotics, there was no statistically significant difference, but the incidence of resistance increased as the temperature increased (Fig. 4). (p.86)",Experimental,Indirect empirical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_067-M2,67,2,Song & Kong (2025),Effects of Temperature on Resistance Occurrence in Xanthomonas arboricola pv. pruni,Discussion interpretation,Direct biological mechanisms,Xanthomonas arboricola pv. pruni,"The results of the study show an increased incidence of streptomycin-resistant strains at 30°C suggesting that temperature may act as an auxiliary stress factor in antibiotic use, promoting the occurrence of antibiotic-resistant strains. (p.87)",Experimental,Theoretical support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_067-M3,67,3,Song & Kong (2025),Effects of Temperature on Resistance Occurrence in Xanthomonas arboricola pv. pruni,Discussion interpretation,Direct biological mechanisms,Xanthomonas arboricola pv. pruni,Mutations in this gene cause bacteria to become resistant as streptomycin cannot bind to its target. (p.87),Experimental,Review-based support,Promoting AMR,Experimental/short-term,Laboratory/in vitro,2026-01-09
EVID_068-M1,68,1,Sobur (2022),Higher seasonal temperature enhances the occurrence of methicillin resistance of Staphylococcus aureus in house flies (Musca domestica) under hospital and environmental settings,Results,Environment-mediated pathways,S. aureus,"Multidrug resistance was positively associated with increase in temperature [OR = 1.10 (CI: 1.06–1.14), p < 0.001]. (p.5, para.4)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_068-M2,68,2,Sobur (2022),Higher seasonal temperature enhances the occurrence of methicillin resistance of Staphylococcus aureus in house flies (Musca domestica) under hospital and environmental settings,Discussion theoretical interpretation,Direct biological mechanisms,Bacterial AMR,"Augmented temperature increases horizontal gene transfer, a crucial mechanism for the acquisition of antibiotic resistance (Burnham 2021). (p.6, para.1)",Theoretical/projection,Theoretical support,Promoting AMR,Other/unclear,Built or engineered environment,2026-01-09
EVID_068-M3,68,3,Sobur (2022),Higher seasonal temperature enhances the occurrence of methicillin resistance of Staphylococcus aureus in house flies (Musca domestica) under hospital and environmental settings,Discussion theoretical interpretation,Direct biological mechanisms,Bacterial AMR,"High temperatures, beyond favoring bacterial growth, were also related to increased rates of gene transfer (Lorenz and Wackernagel 1994; Walsh et al. 2011). (p.8, para.3)",Review-based,Review-based support,Promoting AMR,Other/unclear,Built or engineered environment,2026-01-09
EVID_069-M1,69,1,Schages (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Results,Environment-mediated pathways,Bacterial AMR,"The correlation of the total ARG abundance and single ARGs with the temperature revealed a signiﬁcant negative correlation in case of WW, indicating that a decrease in temperature resulted in the increase of ARGs. (p.5, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_069-M2,69,2,Schages (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Discussion interpretation,Environment-mediated pathways,Bacterial AMR,"The significantly higher ARG abundance (bla, mcr and intI1)inWW and S in colder months compared towarmer months aswell as the negative correlation of temperature and ARG abundance might indicate a relation between the seasons and ARG levels.. (p.7, para.4)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_069-M3,69,3,Schages (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Discussion theoretical interpretation,Direct biological mechanisms,Bacterial AMR,"Furthermore, Miller et al. (2014) showed, that lower temperatures induce an increase of integrons and ARGs due to HGT caused by cold stress response of bacteria. (p.8, para.1)",Review-based,Review-based support,Promoting AMR,Other/unclear,Built or engineered environment,2026-01-09
EVID_069-M4,69,4,Schages (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Discussion theoretical interpretation,Socio-ecological mediation,Bacterial AMR,"Data of the Association of Statutory Health Insurance Physicians North Rhine showed, that the deﬁned daily doses (DDD) of antibiotics in 2018 were higher in colder months (October to March) compared to warmer months (Kassenärztliche Vereinigung Nordrhein, 2018). (p.8, para.1)",Observational,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_069-M5,69,5,Schages (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Discussion theoretical interpretation,Environment-mediated pathways,Bacterial AMR,"It therefore can be assumed that environmental changes affect the microbial community which might inﬂuence the ARG abundance as well. (p.8, para.2)",Theoretical/projection,Theoretical support,Bidirectional or mixed,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_71-M1,71,1,Mira et al. (2022),Evolution of antibiotic resistance impacts optimal temperature and growth rate in Escherichia coli and Staphylococcus epidermidis,Other,Direct biological mechanisms,Antibiotic-resistant bacteria（泛指）,The effects of temperature on the minimum inhibitory concentrations (MICs) of antibiotic-resistant bacteria are highly variable across species. (p.2),Review-based,Review-based support,Uncertain,Conceptual or unclear,Laboratory/in vitro,2026-01-10
EVID_71-M2,71,2,Mira et al. (2022),Evolution of antibiotic resistance impacts optimal temperature and growth rate in Escherichia coli and Staphylococcus epidermidis,Other,Direct biological mechanisms,,"Temperature can also induce physiological responses similar to those caused by some antibiotics (Cruz-Loya et al., 2019). (p.?)",Review-based,Review-based support,Bidirectional or mixed,Conceptual or unclear,Laboratory/in vitro,2026-01-10
EVID_71-M3,71,3,Mira et al. (2022),Evolution of antibiotic resistance impacts optimal temperature and growth rate in Escherichia coli and Staphylococcus epidermidis,Results and discussion integration,Direct biological mechanisms,Escherichia coli; Staphylococcus epidermidis,"Our findings show that the presence of antibiotic resistance genes can cause shifts in optimal growth temperature in two bacteria, E. coli and Staph. epidermidis. (p.11)",Experimental,Direct empirical support,Uncertain,Observational cumulative/seasonal,Laboratory/in vitro,2026-01-10
EVID_72-M1,72,1,Miller et al. (2014),Elevation of antibiotic resistance genes at cold temperatures: implications for winter storage of sludge and biosolids,Other,Direct biological mechanisms,Bacteria（泛指）,Several studies have shown that low temperatures speciﬁcally result in increased cell competence (Kretschmer and Cohen 1979; Turner et al. 1990; Carr et al. 2010). (p.2),Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Laboratory/in vitro,2026-01-10
