result_record_id,study_reference_id,within_study_result_no,study_label,author_year,pathogen,exposure,region_world_bank,region_who,income_level,sample_size,effect_type,estimate,ci_lower,ci_upper,analysis_type
RID_56-9,56,9,Li (2025),Li (2025),Other,Annual/Mean temperature,Global,Global,Global (mixed),32002684,OR,1.13,0.99,1.3,RR/OR
RID_56-13,56,13,Li (2025),Li (2025),A. baumannii,Annual/Mean temperature,Global,Global,Global (mixed),2185560,OR,1.23,1.06,1.43,RR/OR
RID_56-17,56,17,Li (2025),Li (2025),E. coli,Annual/Mean temperature,Global,Global,Global (mixed),8412847,OR,0.93,0.72,1.2,RR/OR
RID_56-21,56,21,Li (2025),Li (2025),K. pneumoniae,Annual/Mean temperature,Global,Global,Global (mixed),4968993,OR,1.05,0.86,1.29,RR/OR
RID_56-25,56,25,Li (2025),Li (2025),P. aeruginosa,Annual/Mean temperature,Global,Global,Global (mixed),2933968,OR,1.04,0.98,1.1,RR/OR
RID_56-29,56,29,Li (2025),Li (2025),Other,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),21345116,OR,1.18,1.01,1.37,RR/OR
RID_56-30,56,30,Li (2025),Li (2025),A. baumannii,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),1324449,OR,1.09,0.93,1.28,RR/OR
RID_56-31,56,31,Li (2025),Li (2025),E. coli,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),5747688,OR,1.03,0.94,1.13,RR/OR
RID_56-32,56,32,Li (2025),Li (2025),E. coli,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),5745974,OR,1.16,0.93,1.46,RR/OR
RID_56-33,56,33,Li (2025),Li (2025),K. pneumoniae,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),3302462,OR,0.97,0.89,1.06,RR/OR
RID_56-34,56,34,Li (2025),Li (2025),K. pneumoniae,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),3364008,OR,1.08,0.86,1.37,RR/OR
RID_56-35,56,35,Li (2025),Li (2025),P. aeruginosa,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),1560535,OR,1.06,1.0,1.12,RR/OR
RID_68-1,68,1,Sobur et al. (2022),Sobur et al. (2022),S. aureus,Temperature change,South Asia,Other/Unspecified,Lower-middle-income,400,OR,1.08,1.05,1.11,RR/OR
RID_77-4,77,4,Gong et al. (2020),Gong et al. (2020),A. baumannii,Other temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,93,OR,2.8956,1.0513,8.6976,RR/OR
RID_173-1,173,1,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),1401,OR,1.86,1.37,2.52,RR/OR
RID_173-2,173,2,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),1401,OR,1.56,1.15,2.12,RR/OR
RID_173-3,173,3,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),1401,OR,1.73,1.25,2.39,RR/OR
RID_173-4,173,4,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),2205,OR,1.3,0.93,1.92,RR/OR
RID_173-5,173,5,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),2205,OR,0.91,0.52,1.63,RR/OR
RID_173-6,173,6,Dagan et al. (2008),Dagan et al. (2008),S. pneumoniae,Seasonal variation,Middle East & North Africa,European Region,High-income (HICs),2205,OR,1.05,0.71,1.54,RR/OR
